"RACEID","YEAR","ROUND","CIRCUITID","NAME","DATE","TIME","URL","FP1_DATE","FP1_TIME","FP2_DATE","FP2_TIME","FP3_DATE","FP3_TIME","QUALI_DATE","QUALI_TIME","SPRINT_DATE","SPRINT_TIME","RESULTID","RACEID_2","DRIVERID","CONSTRUCTORID","NUMBER","GRID","POSITION","POSITIONTEXT","POSITIONORDER","POINTS","LAPS","TIME_2","MILLISECONDS","FASTESTLAP","RANK","FASTESTLAPTIME","FASTESTLAPSPEED","STATUSID","DRIVERID_2","DRIVERREF","NUMBER_2","CODE","FORENAME","SURNAME","DOB","NATIONALITY","URL_2"
"1121","2024","1","3","Bahrain Grand Prix","2024-03-02","15:00:00","https://en.wikipedia.org/wiki/2024_Bahrain_Grand_Prix","2024-02-29","11:30:00","2024-02-29","15:00:00","2024-03-01","12:30:00","2024-03-01","16:00:00",,"NULL","26299","1121","852","215","22","11","14","14","14",0,"56",,,"37","18","1:35.833",203.303,"11","852","tsunoda","22","TSU","Yuki","Tsunoda","2000-05-11","Japanese","http://en.wikipedia.org/wiki/Yuki_Tsunoda"
"1121","2024","1","3","Bahrain Grand Prix","2024-03-02","15:00:00","https://en.wikipedia.org/wiki/2024_Bahrain_Grand_Prix","2024-02-29","11:30:00","2024-02-29","15:00:00","2024-03-01","12:30:00","2024-03-01","16:00:00",,"NULL","26300","1121","848","3","23","13","15","15","15",0,"56",,,"40","17","1:35.723",203.537,"11","848","albon","23","ALB","Alexander","Albon","1996-03-23","Thai","http://en.wikipedia.org/wiki/Alexander_Albon"
"1121","2024","1","3","Bahrain Grand Prix","2024-03-02","15:00:00","https://en.wikipedia.org/wiki/2024_Bahrain_Grand_Prix","2024-02-29","11:30:00","2024-02-29","15:00:00","2024-03-01","12:30:00","2024-03-01","16:00:00",,"NULL","26301","1121","807","210","27","10","16","16","16",0,"56",,,"46","10","1:34.834",205.445,"11","807","hulkenberg","27","HUL","Nico","Hülkenberg","1987-08-19","German","http://en.wikipedia.org/wiki/Nico_H%C3%BClkenberg"
"1121","2024","1","3","Bahrain Grand Prix","2024-03-02","15:00:00","https://en.wikipedia.org/wiki/2024_Bahrain_Grand_Prix","2024-02-29","11:30:00","2024-02-29","15:00:00","2024-03-01","12:30:00","2024-03-01","16:00:00",,"NULL","26302","1121","839","214","31","19","17","17","17",0,"56",,,"34","20","1:36.226",202.473,"11","839","ocon","31","OCO","Esteban","Ocon","1996-09-17","French","http://en.wikipedia.org/wiki/Esteban_Ocon"
"1121","2024","1","3","Bahrain Grand Prix","2024-03-02","15:00:00","https://en.wikipedia.org/wiki/2024_Bahrain_Grand_Prix","2024-02-29","11:30:00","2024-02-29","15:00:00","2024-03-01","12:30:00","2024-03-01","16:00:00",,"NULL","26303","1121","842","214","10","20","18","18","18",0,"56",,,"45","9","1:34.805",205.508,"11","842","gasly","10","GAS","Pierre","Gasly","1996-02-07","French","http://en.wikipedia.org/wiki/Pierre_Gasly"
"1121","2024","1","3","Bahrain Grand Prix","2024-03-02","15:00:00","https://en.wikipedia.org/wiki/2024_Bahrain_Grand_Prix","2024-02-29","11:30:00","2024-02-29","15:00:00","2024-03-01","12:30:00","2024-03-01","16:00:00",,"NULL","26304","1121","822","15","77","16","19","19","19",0,"56",,,"33","19","1:36.202",202.523,"11","822","bottas","77","BOT","Valtteri","Bottas","1989-08-28","Finnish","http://en.wikipedia.org/wiki/Valtteri_Bottas"
"1121","2024","1","3","Bahrain Grand Prix","2024-03-02","15:00:00","https://en.wikipedia.org/wiki/2024_Bahrain_Grand_Prix","2024-02-29","11:30:00","2024-02-29","15:00:00","2024-03-01","12:30:00","2024-03-01","16:00:00",,"NULL","26305","1121","858","3","2","18","20","20","20",0,"55",,,"42","8","1:34.735",205.659,"12","858","sargeant","2","SAR","Logan","Sargeant","2000-12-31","American","http://en.wikipedia.org/wiki/Logan_Sargeant"
"1122","2024","2","77","Saudi Arabian Grand Prix","2024-03-09","17:00:00","https://en.wikipedia.org/wiki/2024_Saudi_Arabian_Grand_Prix","2024-03-07","13:30:00","2024-03-07","17:00:00","2024-03-08","13:30:00","2024-03-08","17:00:00",,"NULL","26306","1122","830","9","1","1","1","1","1",25,"50","1:20:43.273","4843273","50","3","1:31.773",242.188,"1","830","max_verstappen","33","VER","Max","Verstappen","1997-09-30","Dutch","http://en.wikipedia.org/wiki/Max_Verstappen"
"1122","2024","2","77","Saudi Arabian Grand Prix","2024-03-09","17:00:00","https://en.wikipedia.org/wiki/2024_Saudi_Arabian_Grand_Prix","2024-03-07","13:30:00","2024-03-07","17:00:00","2024-03-08","13:30:00","2024-03-08","17:00:00",,"NULL","26307","1122","815","9","11","3","2","2","2",18,"50","+13.6431","4862704","37","8","1:32.273",240.876,"1","815","perez","11","PER","Sergio","Pérez","1990-01-26","Mexican","http://en.wikipedia.org/wiki/Sergio_P%C3%A9rez"
"1122","2024","2","77","Saudi Arabian Grand Prix","2024-03-09","17:00:00","https://en.wikipedia.org/wiki/2024_Saudi_Arabian_Grand_Prix","2024-03-07","13:30:00","2024-03-07","17:00:00","2024-03-08","13:30:00","2024-03-08","17:00:00",,"NULL","26308","1122","844","6","16","2","3","3","3",16,"50","+18.639","4861912","50","1","1:31.632",242.561,"1","844","leclerc","16","LEC","Charles","Leclerc","1997-10-16","Monegasque","http://en.wikipedia.org/wiki/Charles_Leclerc"
"1122","2024","2","77","Saudi Arabian Grand Prix","2024-03-09","17:00:00","https://en.wikipedia.org/wiki/2024_Saudi_Arabian_Grand_Prix","2024-03-07","13:30:00","2024-03-07","17:00:00","2024-03-08","13:30:00","2024-03-08","17:00:00",,"NULL","26309","1122","857","1","81","5","4","4","4",12,"50","+32.007","4875280","1","10","1:32.310",240.779,"1","857","piastri","81","PIA","Oscar","Piastri","2001-04-06","Australian","http://en.wikipedia.org/wiki/Oscar_Piastri"
"1122","2024","2","77","Saudi Arabian Grand Prix","2024-03-09","17:00:00","https://en.wikipedia.org/wiki/2024_Saudi_Arabian_Grand_Prix","2024-03-07","13:30:00","2024-03-07","17:00:00","2024-03-08","13:30:00","2024-03-08","17:00:00",,"NULL","26310","1122","4","117","14","4","5","5","5",10,"50","+35.759","4879032","43","13","1:32.387",240.579,"1","4","alonso","14","ALO","Fernando","Alonso","1981-07-29","Spanish","http://en.wikipedia.org/wiki/Fernando_Alonso"
"1122","2024","2","77","Saudi Arabian Grand Prix","2024-03-09","17:00:00","https://en.wikipedia.org/wiki/2024_Saudi_Arabian_Grand_Prix","2024-03-07","13:30:00","2024-03-07","17:00:00","2024-03-08","13:30:00","2024-03-08","17:00:00",,"NULL","26311","1122","847","131","63","7","6","6","6",8,"50","+39.936","4883209","42","7","1:32.254",240.926,"1","847","russell","63","RUS","George","Russell","1998-02-15","British","http://en.wikipedia.org/wiki/George_Russell_(racing_driver)"
"1122","2024","2","77","Saudi Arabian Grand Prix","2024-03-09","17:00:00","https://en.wikipedia.org/wiki/2024_Saudi_Arabian_Grand_Prix","2024-03-07","13:30:00","2024-03-07","17:00:00","2024-03-08","13:30:00","2024-03-08","17:00:00",,"NULL","26312","1122","860","6","38","11","7","7","7",6,"50","+42.679","4885952","50","5","1:32.186",241.103,"1","860","bearman","38","BEA","Oliver","Bearman","2005-05-08","British","http://en.wikipedia.org/wiki/Oliver_Bearman"
"1122","2024","2","77","Saudi Arabian Grand Prix","2024-03-09","17:00:00","https://en.wikipedia.org/wiki/2024_Saudi_Arabian_Grand_Prix","2024-03-07","13:30:00","2024-03-07","17:00:00","2024-03-08","13:30:00","2024-03-08","17:00:00",,"NULL","26313","1122","846","1","4","6","8","8","8",4,"50","+45.708","4888981","1","4","1:31.944",241.738,"1","846","norris","4","NOR","Lando","Norris","1999-11-13","British","http://en.wikipedia.org/wiki/Lando_Norris"
"1122","2024","2","77","Saudi Arabian Grand Prix","2024-03-09","17:00:00","https://en.wikipedia.org/wiki/2024_Saudi_Arabian_Grand_Prix","2024-03-07","13:30:00","2024-03-07","17:00:00","2024-03-08","13:30:00","2024-03-08","17:00:00",,"NULL","26314","1122","1","131","44","8","9","9","9",2,"50","+47.391","4890664","38","2","1:31.746",242.26,"1","1","hamilton","44","HAM","Lewis","Hamilton","1985-01-07","British","http://en.wikipedia.org/wiki/Lewis_Hamilton"
"1122","2024","2","77","Saudi Arabian Grand Prix","2024-03-09","17:00:00","https://en.wikipedia.org/wiki/2024_Saudi_Arabian_Grand_Prix","2024-03-07","13:30:00","2024-03-07","17:00:00","2024-03-08","13:30:00","2024-03-08","17:00:00",,"NULL","26315","1122","807","210","27","15","10","10","10",1,"50","+1:16.996","4920269","49","12","1:32.366",240.633,"1","807","hulkenberg","27","HUL","Nico","Hülkenberg","1987-08-19","German","http://en.wikipedia.org/wiki/Nico_H%C3%BClkenberg"
"1122","2024","2","77","Saudi Arabian Grand Prix","2024-03-09","17:00:00","https://en.wikipedia.org/wiki/2024_Saudi_Arabian_Grand_Prix","2024-03-07","13:30:00","2024-03-07","17:00:00","2024-03-08","13:30:00","2024-03-08","17:00:00",,"NULL","26316","1122","848","3","23","12","11","11","11",0,"50","+1:28.354","4931627","50","9","1:32.307",240.787,"1","848","albon","23","ALB","Alexander","Albon","1996-03-23","Thai","http://en.wikipedia.org/wiki/Alexander_Albon"
"1122","2024","2","77","Saudi Arabian Grand Prix","2024-03-09","17:00:00","https://en.wikipedia.org/wiki/2024_Saudi_Arabian_Grand_Prix","2024-03-07","13:30:00","2024-03-07","17:00:00","2024-03-08","13:30:00","2024-03-08","17:00:00",,"NULL","26317","1122","825","210","20","13","12","12","12",0,"50","+1:45.7373","4955646","47","11","1:32.338",240.706,"1","825","kevin_magnussen","20","MAG","Kevin","Magnussen","1992-10-05","Danish","http://en.wikipedia.org/wiki/Kevin_Magnussen"
"1122","2024","2","77","Saudi Arabian Grand Prix","2024-03-09","17:00:00","https://en.wikipedia.org/wiki/2024_Saudi_Arabian_Grand_Prix","2024-03-07","13:30:00","2024-03-07","17:00:00","2024-03-08","13:30:00","2024-03-08","17:00:00",,"NULL","26318","1122","839","214","31","17","13","13","13",0,"49",,,"48","17","1:33.481",237.763,"11","839","ocon","31","OCO","Esteban","Ocon","1996-09-17","French","http://en.wikipedia.org/wiki/Esteban_Ocon"
"1122","2024","2","77","Saudi Arabian Grand Prix","2024-03-09","17:00:00","https://en.wikipedia.org/wiki/2024_Saudi_Arabian_Grand_Prix","2024-03-07","13:30:00","2024-03-07","17:00:00","2024-03-08","13:30:00","2024-03-08","17:00:00",,"NULL","26319","1122","858","3","2","19","14","14","14",0,"49",,,"44","18","1:33.523",237.657,"11","858","sargeant","2","SAR","Logan","Sargeant","2000-12-31","American","http://en.wikipedia.org/wiki/Logan_Sargeant"
"1122","2024","2","77","Saudi Arabian Grand Prix","2024-03-09","17:00:00","https://en.wikipedia.org/wiki/2024_Saudi_Arabian_Grand_Prix","2024-03-07","13:30:00","2024-03-07","17:00:00","2024-03-08","13:30:00","2024-03-08","17:00:00",,"NULL","26320","1122","852","215","22","9","15","15","15",0,"49",,,"49","15","1:33.026",238.926,"11","852","tsunoda","22","TSU","Yuki","Tsunoda","2000-05-11","Japanese","http://en.wikipedia.org/wiki/Yuki_Tsunoda"
"1122","2024","2","77","Saudi Arabian Grand Prix","2024-03-09","17:00:00","https://en.wikipedia.org/wiki/2024_Saudi_Arabian_Grand_Prix","2024-03-07","13:30:00","2024-03-07","17:00:00","2024-03-08","13:30:00","2024-03-08","17:00:00",,"NULL","26321","1122","817","215","3","14","16","16","16",0,"49",,,"47","16","1:33.323",238.166,"11","817","ricciardo","3","RIC","Daniel","Ricciardo","1989-07-01","Australian","http://en.wikipedia.org/wiki/Daniel_Ricciardo"
"1122","2024","2","77","Saudi Arabian Grand Prix","2024-03-09","17:00:00","https://en.wikipedia.org/wiki/2024_Saudi_Arabian_Grand_Prix","2024-03-07","13:30:00","2024-03-07","17:00:00","2024-03-08","13:30:00","2024-03-08","17:00:00",,"NULL","26322","1122","822","15","77","16","17","17","17",0,"49",,,"49","14","1:32.706",239.751,"11","822","bottas","77","BOT","Valtteri","Bottas","1989-08-28","Finnish","http://en.wikipedia.org/wiki/Valtteri_Bottas"
"1122","2024","2","77","Saudi Arabian Grand Prix","2024-03-09","17:00:00","https://en.wikipedia.org/wiki/2024_Saudi_Arabian_Grand_Prix","2024-03-07","13:30:00","2024-03-07","17:00:00","2024-03-08","13:30:00","2024-03-08","17:00:00",,"NULL","26323","1122","855","15","24","20","18","18","18",0,"49",,,"49","6","1:32.208",241.046,"11","855","zhou","24","ZHO","Guanyu","Zhou","1999-05-30","Chinese","http://en.wikipedia.org/wiki/Zhou_Guanyu"
"1122","2024","2","77","Saudi Arabian Grand Prix","2024-03-09","17:00:00","https://en.wikipedia.org/wiki/2024_Saudi_Arabian_Grand_Prix","2024-03-07","13:30:00","2024-03-07","17:00:00","2024-03-08","13:30:00","2024-03-08","17:00:00",,"NULL","26325","1122","842","214","10","18",,"R","20",0,"1",,,,"0",,,"6","842","gasly","10","GAS","Pierre","Gasly","1996-02-07","French","http://en.wikipedia.org/wiki/Pierre_Gasly"
"1122","2024","2","77","Saudi Arabian Grand Prix","2024-03-09","17:00:00","https://en.wikipedia.org/wiki/2024_Saudi_Arabian_Grand_Prix","2024-03-07","13:30:00","2024-03-07","17:00:00","2024-03-08","13:30:00","2024-03-08","17:00:00",,"NULL","26324","1122","840","117","18","10",,"R","19",0,"5",,,"5","19","1:35.560",232.591,"3","840","stroll","18","STR","Lance","Stroll","1998-10-29","Canadian","http://en.wikipedia.org/wiki/Lance_Stroll"
"1123","2024","3","1","Australian Grand Prix","2024-03-24","04:00:00","https://en.wikipedia.org/wiki/2024_Australian_Grand_Prix","2024-03-22","01:30:00","2024-03-22","05:00:00","2024-03-23","01:30:00","2024-03-23","05:00:00",,"NULL","26326","1123","832","6","55","2","1","1","1",25,"58","1:20:26.843","4826843","48","3","1:20.031",237.418,"1","832","sainz","55","SAI","Carlos","Sainz","1994-09-01","Spanish","http://en.wikipedia.org/wiki/Carlos_Sainz_Jr."
"1123","2024","3","1","Australian Grand Prix","2024-03-24","04:00:00","https://en.wikipedia.org/wiki/2024_Australian_Grand_Prix","2024-03-22","01:30:00","2024-03-22","05:00:00","2024-03-23","01:30:00","2024-03-23","05:00:00",,"NULL","26327","1123","844","6","16","4","2","2","2",19,"58","+2.366","4829209","56","1","1:19.813",238.066,"1","844","leclerc","16","LEC","Charles","Leclerc","1997-10-16","Monegasque","http://en.wikipedia.org/wiki/Charles_Leclerc"
"1123","2024","3","1","Australian Grand Prix","2024-03-24","04:00:00","https://en.wikipedia.org/wiki/2024_Australian_Grand_Prix","2024-03-22","01:30:00","2024-03-22","05:00:00","2024-03-23","01:30:00","2024-03-23","05:00:00",,"NULL","26328","1123","846","1","4","3","3","3","3",15,"58","+5.904","4832747","1","2","1:19.915",237.762,"1","846","norris","4","NOR","Lando","Norris","1999-11-13","British","http://en.wikipedia.org/wiki/Lando_Norris"
"1123","2024","3","1","Australian Grand Prix","2024-03-24","04:00:00","https://en.wikipedia.org/wiki/2024_Australian_Grand_Prix","2024-03-22","01:30:00","2024-03-22","05:00:00","2024-03-23","01:30:00","2024-03-23","05:00:00",,"NULL","26329","1123","857","1","81","5","4","4","4",12,"58","+35.770","4862613","1","4","1:20.199",236.92,"1","857","piastri","81","PIA","Oscar","Piastri","2001-04-06","Australian","http://en.wikipedia.org/wiki/Oscar_Piastri"
"1123","2024","3","1","Australian Grand Prix","2024-03-24","04:00:00","https://en.wikipedia.org/wiki/2024_Australian_Grand_Prix","2024-03-22","01:30:00","2024-03-22","05:00:00","2024-03-23","01:30:00","2024-03-23","05:00:00",,"NULL","26330","1123","815","9","11","6","5","5","5",10,"58","+56.309","4883152","47","6","1:20.388",236.363,"1","815","perez","11","PER","Sergio","Pérez","1990-01-26","Mexican","http://en.wikipedia.org/wiki/Sergio_P%C3%A9rez"
"1123","2024","3","1","Australian Grand Prix","2024-03-24","04:00:00","https://en.wikipedia.org/wiki/2024_Australian_Grand_Prix","2024-03-22","01:30:00","2024-03-22","05:00:00","2024-03-23","01:30:00","2024-03-23","05:00:00",,"NULL","26331","1123","840","117","18","9","6","6","6",8,"58","+1:33.222","4920065","49","8","1:20.930",234.78,"1","840","stroll","18","STR","Lance","Stroll","1998-10-29","Canadian","http://en.wikipedia.org/wiki/Lance_Stroll"
"1123","2024","3","1","Australian Grand Prix","2024-03-24","04:00:00","https://en.wikipedia.org/wiki/2024_Australian_Grand_Prix","2024-03-22","01:30:00","2024-03-22","05:00:00","2024-03-23","01:30:00","2024-03-23","05:00:00",,"NULL","26332","1123","852","215","22","8","7","7","7",6,"58","+1:35.601","4922444","46","11","1:21.134",234.19,"1","852","tsunoda","22","TSU","Yuki","Tsunoda","2000-05-11","Japanese","http://en.wikipedia.org/wiki/Yuki_Tsunoda"
"1123","2024","3","1","Australian Grand Prix","2024-03-24","04:00:00","https://en.wikipedia.org/wiki/2024_Australian_Grand_Prix","2024-03-22","01:30:00","2024-03-22","05:00:00","2024-03-23","01:30:00","2024-03-23","05:00:00",,"NULL","26333","1123","4","117","14","10","8","8","8",4,"58","+1:40.992","4927835","52","7","1:20.493",236.055,"1","4","alonso","14","ALO","Fernando","Alonso","1981-07-29","Spanish","http://en.wikipedia.org/wiki/Fernando_Alonso"
"1123","2024","3","1","Australian Grand Prix","2024-03-24","04:00:00","https://en.wikipedia.org/wiki/2024_Australian_Grand_Prix","2024-03-22","01:30:00","2024-03-22","05:00:00","2024-03-23","01:30:00","2024-03-23","05:00:00",,"NULL","26334","1123","807","210","27","16","9","9","9",2,"58","+1:44.553","4931396","46","12","1:21.145",234.158,"1","807","hulkenberg","27","HUL","Nico","Hülkenberg","1987-08-19","German","http://en.wikipedia.org/wiki/Nico_H%C3%BClkenberg"
"1123","2024","3","1","Australian Grand Prix","2024-03-24","04:00:00","https://en.wikipedia.org/wiki/2024_Australian_Grand_Prix","2024-03-22","01:30:00","2024-03-22","05:00:00","2024-03-23","01:30:00","2024-03-23","05:00:00",,"NULL","26335","1123","825","210","20","14","10","10","10",1,"57",,,"44","9","1:21.082",234.34,"11","825","kevin_magnussen","20","MAG","Kevin","Magnussen","1992-10-05","Danish","http://en.wikipedia.org/wiki/Kevin_Magnussen"
"1123","2024","3","1","Australian Grand Prix","2024-03-24","04:00:00","https://en.wikipedia.org/wiki/2024_Australian_Grand_Prix","2024-03-22","01:30:00","2024-03-22","05:00:00","2024-03-23","01:30:00","2024-03-23","05:00:00",,"NULL","26336","1123","848","3","23","12","11","11","11",0,"57",,,"46","17","1:21.618",232.801,"11","848","albon","23","ALB","Alexander","Albon","1996-03-23","Thai","http://en.wikipedia.org/wiki/Alexander_Albon"
"1123","2024","3","1","Australian Grand Prix","2024-03-24","04:00:00","https://en.wikipedia.org/wiki/2024_Australian_Grand_Prix","2024-03-22","01:30:00","2024-03-22","05:00:00","2024-03-23","01:30:00","2024-03-23","05:00:00",,"NULL","26337","1123","817","215","3","18","12","12","12",0,"57",,,"46","13","1:21.239",233.887,"11","817","ricciardo","3","RIC","Daniel","Ricciardo","1989-07-01","Australian","http://en.wikipedia.org/wiki/Daniel_Ricciardo"
"1123","2024","3","1","Australian Grand Prix","2024-03-24","04:00:00","https://en.wikipedia.org/wiki/2024_Australian_Grand_Prix","2024-03-22","01:30:00","2024-03-22","05:00:00","2024-03-23","01:30:00","2024-03-23","05:00:00",,"NULL","26338","1123","842","214","10","17","13","13","13",0,"57",,,"51","10","1:21.090",234.317,"11","842","gasly","10","GAS","Pierre","Gasly","1996-02-07","French","http://en.wikipedia.org/wiki/Pierre_Gasly"
"1123","2024","3","1","Australian Grand Prix","2024-03-24","04:00:00","https://en.wikipedia.org/wiki/2024_Australian_Grand_Prix","2024-03-22","01:30:00","2024-03-22","05:00:00","2024-03-23","01:30:00","2024-03-23","05:00:00",,"NULL","26339","1123","822","15","77","13","14","14","14",0,"57",,,"48","16","1:21.422",233.361,"11","822","bottas","77","BOT","Valtteri","Bottas","1989-08-28","Finnish","http://en.wikipedia.org/wiki/Valtteri_Bottas"
"1123","2024","3","1","Australian Grand Prix","2024-03-24","04:00:00","https://en.wikipedia.org/wiki/2024_Australian_Grand_Prix","2024-03-22","01:30:00","2024-03-22","05:00:00","2024-03-23","01:30:00","2024-03-23","05:00:00",,"NULL","26340","1123","855","15","24","19","15","15","15",0,"57",,,"49","14","1:21.327",233.634,"11","855","zhou","24","ZHO","Guanyu","Zhou","1999-05-30","Chinese","http://en.wikipedia.org/wiki/Zhou_Guanyu"
"1123","2024","3","1","Australian Grand Prix","2024-03-24","04:00:00","https://en.wikipedia.org/wiki/2024_Australian_Grand_Prix","2024-03-22","01:30:00","2024-03-22","05:00:00","2024-03-23","01:30:00","2024-03-23","05:00:00",,"NULL","26341","1123","839","214","31","15","16","16","16",0,"57",,,"45","15","1:21.354",233.557,"11","839","ocon","31","OCO","Esteban","Ocon","1996-09-17","French","http://en.wikipedia.org/wiki/Esteban_Ocon"
