RACEID,YEAR,ROUND,CIRCUITID,NAME,DATE,TIME,URL,FP1_DATE,FP1_TIME,FP2_DATE,FP2_TIME,FP3_DATE,FP3_TIME,QUALI_DATE,QUALI_TIME,SPRINT_DATE,SPRINT_TIME,RESULTID,RACEID,DRIVERID,CONSTRUCTORID,NUMBER,GRID,POSITION,POSITIONTEXT,POSITIONORDER,POINTS,LAPS,TIME,MILLISECONDS,FASTESTLAP,RANK,FASTESTLAPTIME,FASTESTLAPSPEED,STATUSID,DRIVERID,DRIVERREF,NUMBER,CODE,FORENAME,SURNAME,DOB,NATIONALITY,URL
1,2009,1,1,Australian Grand Prix,2009-03-29,06:00:00.000,http://en.wikipedia.org/wiki/2009_Australian_Grand_Prix,,,,,,,,,,,7568,1,8,6,4,7,15,15,15,0.0,55,,,35,7,1:28.488,215.744,24,8,raikkonen,7,RAI,Kimi,Räikkönen,1979-10-17,Finnish,http://en.wikipedia.org/wiki/Kimi_R%C3%A4ikk%C3%B6nen
1,2009,1,1,Australian Grand Prix,2009-03-29,06:00:00.000,http://en.wikipedia.org/wiki/2009_Australian_Grand_Prix,,,,,,,,,,,7569,1,13,6,3,6,,R,16,0.0,45,,,30,15,1:29.141,214.164,22,13,massa,19,MAS,Felipe,Massa,1981-04-25,Brazilian,http://en.wikipedia.org/wiki/Felipe_Massa
1,2009,1,1,Australian Grand Prix,2009-03-29,06:00:00.000,http://en.wikipedia.org/wiki/2009_Australian_Grand_Prix,,,,,,,,,,,7570,1,12,4,8,14,,R,17,0.0,24,,,17,19,1:30.502,210.943,20,12,piquet_jr,,PIQ,Nelson,Piquet Jr.,1985-07-25,Brazilian,"http://en.wikipedia.org/wiki/Nelson_Piquet,_Jr."
1,2009,1,1,Australian Grand Prix,2009-03-29,06:00:00.000,http://en.wikipedia.org/wiki/2009_Australian_Grand_Prix,,,,,,,,,,,7571,1,6,3,17,11,,R,18,0.0,17,,,6,18,1:29.923,212.301,3,6,nakajima,,NAK,Kazuki,Nakajima,1985-01-11,Japanese,http://en.wikipedia.org/wiki/Kazuki_Nakajima
1,2009,1,1,Australian Grand Prix,2009-03-29,06:00:00.000,http://en.wikipedia.org/wiki/2009_Australian_Grand_Prix,,,,,,,,,,,7572,1,5,1,2,12,,R,19,0.0,0,,,,,,,4,5,kovalainen,,KOV,Heikki,Kovalainen,1981-10-19,Finnish,http://en.wikipedia.org/wiki/Heikki_Kovalainen
1,2009,1,1,Australian Grand Prix,2009-03-29,06:00:00.000,http://en.wikipedia.org/wiki/2009_Australian_Grand_Prix,,,,,,,,,,,7573,1,1,1,1,18,,D,20,0.0,58,,,39,13,1:29.020,214.455,2,1,hamilton,44,HAM,Lewis,Hamilton,1985-01-07,British,http://en.wikipedia.org/wiki/Lewis_Hamilton
2,2009,2,2,Malaysian Grand Prix,2009-04-05,09:00:00.000,http://en.wikipedia.org/wiki/2009_Malaysian_Grand_Prix,,,,,,,,,,,7574,2,18,23,22,1,1,1,1,5.0,31,1:10:52.092,4252092,18,1,1:36.641,206.483,1,18,button,22,BUT,Jenson,Button,1980-01-19,British,http://en.wikipedia.org/wiki/Jenson_Button
2,2009,2,2,Malaysian Grand Prix,2009-04-05,09:00:00.000,http://en.wikipedia.org/wiki/2009_Malaysian_Grand_Prix,,,,,,,,,,,7575,2,2,2,6,10,2,2,2,4.0,31,+22.722,4274814,17,10,1:39.084,201.392,1,2,heidfeld,,HEI,Nick,Heidfeld,1977-05-10,German,http://en.wikipedia.org/wiki/Nick_Heidfeld
2,2009,2,2,Malaysian Grand Prix,2009-04-05,09:00:00.000,http://en.wikipedia.org/wiki/2009_Malaysian_Grand_Prix,,,,,,,,,,,7576,2,10,7,10,3,3,3,3,3.0,31,+23.513,4275605,18,16,1:39.406,200.740,1,10,glock,,GLO,Timo,Glock,1982-03-18,German,http://en.wikipedia.org/wiki/Timo_Glock
2,2009,2,2,Malaysian Grand Prix,2009-04-05,09:00:00.000,http://en.wikipedia.org/wiki/2009_Malaysian_Grand_Prix,,,,,,,,,,,7577,2,15,7,9,2,4,4,4,2.5,31,+46.173,4298265,12,3,1:37.591,204.473,1,15,trulli,,TRU,Jarno,Trulli,1974-07-13,Italian,http://en.wikipedia.org/wiki/Jarno_Trulli
2,2009,2,2,Malaysian Grand Prix,2009-04-05,09:00:00.000,http://en.wikipedia.org/wiki/2009_Malaysian_Grand_Prix,,,,,,,,,,,7578,2,22,23,23,8,5,5,5,2.0,31,+47.360,4299452,17,2,1:37.484,204.698,1,22,barrichello,,BAR,Rubens,Barrichello,1972-05-23,Brazilian,http://en.wikipedia.org/wiki/Rubens_Barrichello
2,2009,2,2,Malaysian Grand Prix,2009-04-05,09:00:00.000,http://en.wikipedia.org/wiki/2009_Malaysian_Grand_Prix,,,,,,,,,,,7579,2,17,9,14,5,6,6,6,1.5,31,+52.333,4304425,14,5,1:37.672,204.304,1,17,webber,,WEB,Mark,Webber,1976-08-27,Australian,http://en.wikipedia.org/wiki/Mark_Webber_(racing_driver)
2,2009,2,2,Malaysian Grand Prix,2009-04-05,09:00:00.000,http://en.wikipedia.org/wiki/2009_Malaysian_Grand_Prix,,,,,,,,,,,7580,2,1,1,1,12,7,7,7,1.0,31,+1:00.733,4312825,17,11,1:39.141,201.276,1,1,hamilton,44,HAM,Lewis,Hamilton,1985-01-07,British,http://en.wikipedia.org/wiki/Lewis_Hamilton
2,2009,2,2,Malaysian Grand Prix,2009-04-05,09:00:00.000,http://en.wikipedia.org/wiki/2009_Malaysian_Grand_Prix,,,,,,,,,,,7581,2,3,3,16,4,8,8,8,0.5,31,+1:11.576,4323668,13,4,1:37.598,204.459,1,3,rosberg,6,ROS,Nico,Rosberg,1985-06-27,German,http://en.wikipedia.org/wiki/Nico_Rosberg
2,2009,2,2,Malaysian Grand Prix,2009-04-05,09:00:00.000,http://en.wikipedia.org/wiki/2009_Malaysian_Grand_Prix,,,,,,,,,,,7582,2,13,6,3,16,9,9,9,0.0,31,+1:16.932,4329024,17,13,1:39.250,201.055,1,13,massa,19,MAS,Felipe,Massa,1981-04-25,Brazilian,http://en.wikipedia.org/wiki/Felipe_Massa
2,2009,2,2,Malaysian Grand Prix,2009-04-05,09:00:00.000,http://en.wikipedia.org/wiki/2009_Malaysian_Grand_Prix,,,,,,,,,,,7583,2,7,5,11,15,10,10,10,0.0,31,+1:42.164,4354256,17,12,1:39.242,201.072,1,7,bourdais,,BOU,Sébastien,Bourdais,1979-02-28,French,http://en.wikipedia.org/wiki/S%C3%A9bastien_Bourdais
2,2009,2,2,Malaysian Grand Prix,2009-04-05,09:00:00.000,http://en.wikipedia.org/wiki/2009_Malaysian_Grand_Prix,,,,,,,,,,,7584,2,4,4,7,9,11,11,11,0.0,31,,,17,9,1:39.006,201.551,11,4,alonso,14,ALO,Fernando,Alonso,1981-07-29,Spanish,http://en.wikipedia.org/wiki/Fernando_Alonso
2,2009,2,2,Malaysian Grand Prix,2009-04-05,09:00:00.000,http://en.wikipedia.org/wiki/2009_Malaysian_Grand_Prix,,,,,,,,,,,7585,2,6,3,17,11,12,12,12,0.0,31,,,17,15,1:39.387,200.778,11,6,nakajima,,NAK,Kazuki,Nakajima,1985-01-11,Japanese,http://en.wikipedia.org/wiki/Kazuki_Nakajima
2,2009,2,2,Malaysian Grand Prix,2009-04-05,09:00:00.000,http://en.wikipedia.org/wiki/2009_Malaysian_Grand_Prix,,,,,,,,,,,7586,2,12,4,8,17,13,13,13,0.0,31,,,18,14,1:39.268,201.019,11,12,piquet_jr,,PIQ,Nelson,Piquet Jr.,1985-07-25,Brazilian,"http://en.wikipedia.org/wiki/Nelson_Piquet,_Jr."
2,2009,2,2,Malaysian Grand Prix,2009-04-05,09:00:00.000,http://en.wikipedia.org/wiki/2009_Malaysian_Grand_Prix,,,,,,,,,,,7587,2,8,6,4,7,14,14,14,0.0,31,,,17,7,1:38.453,202.683,11,8,raikkonen,7,RAI,Kimi,Räikkönen,1979-10-17,Finnish,http://en.wikipedia.org/wiki/Kimi_R%C3%A4ikk%C3%B6nen
2,2009,2,2,Malaysian Grand Prix,2009-04-05,09:00:00.000,http://en.wikipedia.org/wiki/2009_Malaysian_Grand_Prix,,,,,,,,,,,7588,2,20,9,15,13,15,15,15,0.0,30,,,10,6,1:38.427,202.737,20,20,vettel,5,VET,Sebastian,Vettel,1987-07-03,German,http://en.wikipedia.org/wiki/Sebastian_Vettel
2,2009,2,2,Malaysian Grand Prix,2009-04-05,09:00:00.000,http://en.wikipedia.org/wiki/2009_Malaysian_Grand_Prix,,,,,,,,,,,7589,2,67,5,12,20,16,16,16,0.0,30,,,16,8,1:38.938,201.689,20,67,buemi,,BUE,Sébastien,Buemi,1988-10-31,Swiss,http://en.wikipedia.org/wiki/S%C3%A9bastien_Buemi
2,2009,2,2,Malaysian Grand Prix,2009-04-05,09:00:00.000,http://en.wikipedia.org/wiki/2009_Malaysian_Grand_Prix,,,,,,,,,,,7590,2,16,10,20,19,17,17,17,0.0,30,,,17,18,1:39.464,200.623,11,16,sutil,99,SUT,Adrian,Sutil,1983-01-11,German,http://en.wikipedia.org/wiki/Adrian_Sutil
2,2009,2,2,Malaysian Grand Prix,2009-04-05,09:00:00.000,http://en.wikipedia.org/wiki/2009_Malaysian_Grand_Prix,,,,,,,,,,,7591,2,21,10,21,18,18,18,18,0.0,29,,,16,17,1:39.407,200.738,20,21,fisichella,,FIS,Giancarlo,Fisichella,1973-01-14,Italian,http://en.wikipedia.org/wiki/Giancarlo_Fisichella
2,2009,2,2,Malaysian Grand Prix,2009-04-05,09:00:00.000,http://en.wikipedia.org/wiki/2009_Malaysian_Grand_Prix,,,,,,,,,,,7592,2,9,2,5,6,,R,19,0.0,1,,,,,,,5,9,kubica,88,KUB,Robert,Kubica,1984-12-07,Polish,http://en.wikipedia.org/wiki/Robert_Kubica
2,2009,2,2,Malaysian Grand Prix,2009-04-05,09:00:00.000,http://en.wikipedia.org/wiki/2009_Malaysian_Grand_Prix,,,,,,,,,,,7593,2,5,1,2,14,,R,20,0.0,0,,,,,,,20,5,kovalainen,,KOV,Heikki,Kovalainen,1981-10-19,Finnish,http://en.wikipedia.org/wiki/Heikki_Kovalainen
3,2009,3,17,Chinese Grand Prix,2009-04-19,07:00:00.000,http://en.wikipedia.org/wiki/2009_Chinese_Grand_Prix,,,,,,,,,,,7594,3,20,9,15,1,1,1,1,10.0,56,1:57:43.485,7063485,42,2,1:52.627,174.235,1,20,vettel,5,VET,Sebastian,Vettel,1987-07-03,German,http://en.wikipedia.org/wiki/Sebastian_Vettel
3,2009,3,17,Chinese Grand Prix,2009-04-19,07:00:00.000,http://en.wikipedia.org/wiki/2009_Chinese_Grand_Prix,,,,,,,,,,,7595,3,17,9,14,3,2,2,2,8.0,56,+10.970,7074455,42,4,1:52.980,173.690,1,17,webber,,WEB,Mark,Webber,1976-08-27,Australian,http://en.wikipedia.org/wiki/Mark_Webber_(racing_driver)
3,2009,3,17,Chinese Grand Prix,2009-04-19,07:00:00.000,http://en.wikipedia.org/wiki/2009_Chinese_Grand_Prix,,,,,,,,,,,7596,3,18,23,22,5,3,3,3,6.0,56,+44.975,7108460,44,6,1:53.546,172.825,1,18,button,22,BUT,Jenson,Button,1980-01-19,British,http://en.wikipedia.org/wiki/Jenson_Button
3,2009,3,17,Chinese Grand Prix,2009-04-19,07:00:00.000,http://en.wikipedia.org/wiki/2009_Chinese_Grand_Prix,,,,,,,,,,,7597,3,22,23,23,4,4,4,4,5.0,56,+1:03.704,7127189,42,1,1:52.592,174.289,1,22,barrichello,,BAR,Rubens,Barrichello,1972-05-23,Brazilian,http://en.wikipedia.org/wiki/Rubens_Barrichello
3,2009,3,17,Chinese Grand Prix,2009-04-19,07:00:00.000,http://en.wikipedia.org/wiki/2009_Chinese_Grand_Prix,,,,,,,,,,,7598,3,5,1,2,12,5,5,5,4.0,56,+1:05.102,7128587,41,10,1:54.516,171.361,1,5,kovalainen,,KOV,Heikki,Kovalainen,1981-10-19,Finnish,http://en.wikipedia.org/wiki/Heikki_Kovalainen
3,2009,3,17,Chinese Grand Prix,2009-04-19,07:00:00.000,http://en.wikipedia.org/wiki/2009_Chinese_Grand_Prix,,,,,,,,,,,7599,3,1,1,1,9,6,6,6,3.0,56,+1:11.866,7135351,39,12,1:54.665,171.138,1,1,hamilton,44,HAM,Lewis,Hamilton,1985-01-07,British,http://en.wikipedia.org/wiki/Lewis_Hamilton
3,2009,3,17,Chinese Grand Prix,2009-04-19,07:00:00.000,http://en.wikipedia.org/wiki/2009_Chinese_Grand_Prix,,,,,,,,,,,7600,3,10,7,10,19,7,7,7,2.0,56,+1:14.476,7137961,42,3,1:52.703,174.117,1,10,glock,,GLO,Timo,Glock,1982-03-18,German,http://en.wikipedia.org/wiki/Timo_Glock
3,2009,3,17,Chinese Grand Prix,2009-04-19,07:00:00.000,http://en.wikipedia.org/wiki/2009_Chinese_Grand_Prix,,,,,,,,,,,7601,3,67,5,12,10,8,8,8,1.0,56,+1:16.439,7139924,42,11,1:54.590,171.250,1,67,buemi,,BUE,Sébastien,Buemi,1988-10-31,Swiss,http://en.wikipedia.org/wiki/S%C3%A9bastien_Buemi
3,2009,3,17,Chinese Grand Prix,2009-04-19,07:00:00.000,http://en.wikipedia.org/wiki/2009_Chinese_Grand_Prix,,,,,,,,,,,7602,3,4,4,7,2,9,9,9,0.0,56,+1:24.309,7147794,38,9,1:54.481,171.413,1,4,alonso,14,ALO,Fernando,Alonso,1981-07-29,Spanish,http://en.wikipedia.org/wiki/Fernando_Alonso
3,2009,3,17,Chinese Grand Prix,2009-04-19,07:00:00.000,http://en.wikipedia.org/wiki/2009_Chinese_Grand_Prix,,,,,,,,,,,7603,3,8,6,4,8,10,10,10,0.0,56,+1:31.750,7155235,38,15,1:55.396,170.054,1,8,raikkonen,7,RAI,Kimi,Räikkönen,1979-10-17,Finnish,http://en.wikipedia.org/wiki/Kimi_R%C3%A4ikk%C3%B6nen
3,2009,3,17,Chinese Grand Prix,2009-04-19,07:00:00.000,http://en.wikipedia.org/wiki/2009_Chinese_Grand_Prix,,,,,,,,,,,7604,3,7,5,11,15,11,11,11,0.0,56,+1:34.156,7157641,43,5,1:53.474,172.934,1,7,bourdais,,BOU,Sébastien,Bourdais,1979-02-28,French,http://en.wikipedia.org/wiki/S%C3%A9bastien_Bourdais
3,2009,3,17,Chinese Grand Prix,2009-04-19,07:00:00.000,http://en.wikipedia.org/wiki/2009_Chinese_Grand_Prix,,,,,,,,,,,7605,3,2,2,6,11,12,12,12,0.0,56,+1:35.834,7159319,40,7,1:54.158,171.898,1,2,heidfeld,,HEI,Nick,Heidfeld,1977-05-10,German,http://en.wikipedia.org/wiki/Nick_Heidfeld
3,2009,3,17,Chinese Grand Prix,2009-04-19,07:00:00.000,http://en.wikipedia.org/wiki/2009_Chinese_Grand_Prix,,,,,,,,,,,7606,3,9,2,5,17,13,13,13,0.0,56,+1:46.853,7170338,44,14,1:55.350,170.122,1,9,kubica,88,KUB,Robert,Kubica,1984-12-07,Polish,http://en.wikipedia.org/wiki/Robert_Kubica
3,2009,3,17,Chinese Grand Prix,2009-04-19,07:00:00.000,http://en.wikipedia.org/wiki/2009_Chinese_Grand_Prix,,,,,,,,,,,7607,3,21,10,21,20,14,14,14,0.0,55,,,37,18,1:56.239,168.821,11,21,fisichella,,FIS,Giancarlo,Fisichella,1973-01-14,Italian,http://en.wikipedia.org/wiki/Giancarlo_Fisichella
3,2009,3,17,Chinese Grand Prix,2009-04-19,07:00:00.000,http://en.wikipedia.org/wiki/2009_Chinese_Grand_Prix,,,,,,,,,,,7608,3,3,3,16,7,15,15,15,0.0,55,,,55,8,1:54.243,171.770,11,3,rosberg,6,ROS,Nico,Rosberg,1985-06-27,German,http://en.wikipedia.org/wiki/Nico_Rosberg
3,2009,3,17,Chinese Grand Prix,2009-04-19,07:00:00.000,http://en.wikipedia.org/wiki/2009_Chinese_Grand_Prix,,,,,,,,,,,7609,3,12,4,8,16,16,16,16,0.0,54,,,42,16,1:55.535,169.849,12,12,piquet_jr,,PIQ,Nelson,Piquet Jr.,1985-07-25,Brazilian,"http://en.wikipedia.org/wiki/Nelson_Piquet,_Jr."
3,2009,3,17,Chinese Grand Prix,2009-04-19,07:00:00.000,http://en.wikipedia.org/wiki/2009_Chinese_Grand_Prix,,,,,,,,,,,7610,3,16,10,20,18,17,17,17,0.0,50,,,41,13,1:54.777,170.971,20,16,sutil,99,SUT,Adrian,Sutil,1983-01-11,German,http://en.wikipedia.org/wiki/Adrian_Sutil
3,2009,3,17,Chinese Grand Prix,2009-04-19,07:00:00.000,http://en.wikipedia.org/wiki/2009_Chinese_Grand_Prix,,,,,,,,,,,7613,3,15,7,9,6,,R,20,0.0,18,,,14,20,2:00.330,163.081,4,15,trulli,,TRU,Jarno,Trulli,1974-07-13,Italian,http://en.wikipedia.org/wiki/Jarno_Trulli
3,2009,3,17,Chinese Grand Prix,2009-04-19,07:00:00.000,http://en.wikipedia.org/wiki/2009_Chinese_Grand_Prix,,,,,,,,,,,7612,3,13,6,3,13,,R,19,0.0,20,,,16,19,1:56.484,168.466,40,13,massa,19,MAS,Felipe,Massa,1981-04-25,Brazilian,http://en.wikipedia.org/wiki/Felipe_Massa
3,2009,3,17,Chinese Grand Prix,2009-04-19,07:00:00.000,http://en.wikipedia.org/wiki/2009_Chinese_Grand_Prix,,,,,,,,,,,7611,3,6,3,17,14,,R,18,0.0,43,,,38,17,1:56.167,168.925,31,6,nakajima,,NAK,Kazuki,Nakajima,1985-01-11,Japanese,http://en.wikipedia.org/wiki/Kazuki_Nakajima
4,2009,4,3,Bahrain Grand Prix,2009-04-26,12:00:00.000,http://en.wikipedia.org/wiki/2009_Bahrain_Grand_Prix,,,,,,,,,,,7614,4,18,23,22,4,1,1,1,10.0,57,1:31:48.182,5508182,11,3,1:34.588,205.979,1,18,button,22,BUT,Jenson,Button,1980-01-19,British,http://en.wikipedia.org/wiki/Jenson_Button
4,2009,4,3,Bahrain Grand Prix,2009-04-26,12:00:00.000,http://en.wikipedia.org/wiki/2009_Bahrain_Grand_Prix,,,,,,,,,,,7615,4,20,9,15,3,2,2,2,8.0,57,+7.187,5515369,16,4,1:34.756,205.614,1,20,vettel,5,VET,Sebastian,Vettel,1987-07-03,German,http://en.wikipedia.org/wiki/Sebastian_Vettel
4,2009,4,3,Bahrain Grand Prix,2009-04-26,12:00:00.000,http://en.wikipedia.org/wiki/2009_Bahrain_Grand_Prix,,,,,,,,,,,7616,4,15,7,9,1,3,3,3,6.0,57,+9.170,5517352,10,1,1:34.556,206.049,1,15,trulli,,TRU,Jarno,Trulli,1974-07-13,Italian,http://en.wikipedia.org/wiki/Jarno_Trulli
4,2009,4,3,Bahrain Grand Prix,2009-04-26,12:00:00.000,http://en.wikipedia.org/wiki/2009_Bahrain_Grand_Prix,,,,,,,,,,,7617,4,1,1,1,5,4,4,4,5.0,57,+22.096,5530278,13,6,1:34.915,205.269,1,1,hamilton,44,HAM,Lewis,Hamilton,1985-01-07,British,http://en.wikipedia.org/wiki/Lewis_Hamilton
4,2009,4,3,Bahrain Grand Prix,2009-04-26,12:00:00.000,http://en.wikipedia.org/wiki/2009_Bahrain_Grand_Prix,,,,,,,,,,,7618,4,22,23,23,6,5,5,5,4.0,57,+37.779,5545961,25,5,1:34.901,205.300,1,22,barrichello,,BAR,Rubens,Barrichello,1972-05-23,Brazilian,http://en.wikipedia.org/wiki/Rubens_Barrichello
4,2009,4,3,Bahrain Grand Prix,2009-04-26,12:00:00.000,http://en.wikipedia.org/wiki/2009_Bahrain_Grand_Prix,,,,,,,,,,,7619,4,8,6,4,10,6,6,6,3.0,57,+42.057,5550239,42,11,1:35.498,204.016,1,8,raikkonen,7,RAI,Kimi,Räikkönen,1979-10-17,Finnish,http://en.wikipedia.org/wiki/Kimi_R%C3%A4ikk%C3%B6nen
4,2009,4,3,Bahrain Grand Prix,2009-04-26,12:00:00.000,http://en.wikipedia.org/wiki/2009_Bahrain_Grand_Prix,,,,,,,,,,,7620,4,10,7,10,2,7,7,7,2.0,57,+42.880,5551062,6,2,1:34.574,206.010,1,10,glock,,GLO,Timo,Glock,1982-03-18,German,http://en.wikipedia.org/wiki/Timo_Glock
4,2009,4,3,Bahrain Grand Prix,2009-04-26,12:00:00.000,http://en.wikipedia.org/wiki/2009_Bahrain_Grand_Prix,,,,,,,,,,,7621,4,4,4,7,7,8,8,8,1.0,57,+52.775,5560957,29,14,1:35.722,203.539,1,4,alonso,14,ALO,Fernando,Alonso,1981-07-29,Spanish,http://en.wikipedia.org/wiki/Fernando_Alonso
4,2009,4,3,Bahrain Grand Prix,2009-04-26,12:00:00.000,http://en.wikipedia.org/wiki/2009_Bahrain_Grand_Prix,,,,,,,,,,,7622,4,3,3,16,9,9,9,9,0.0,57,+58.198,5566380,37,15,1:35.816,203.339,1,3,rosberg,6,ROS,Nico,Rosberg,1985-06-27,German,http://en.wikipedia.org/wiki/Nico_Rosberg
4,2009,4,3,Bahrain Grand Prix,2009-04-26,12:00:00.000,http://en.wikipedia.org/wiki/2009_Bahrain_Grand_Prix,,,,,,,,,,,7623,4,12,4,8,15,10,10,10,0.0,57,+1:05.149,5573331,37,10,1:35.441,204.138,1,12,piquet_jr,,PIQ,Nelson,Piquet Jr.,1985-07-25,Brazilian,"http://en.wikipedia.org/wiki/Nelson_Piquet,_Jr."
4,2009,4,3,Bahrain Grand Prix,2009-04-26,12:00:00.000,http://en.wikipedia.org/wiki/2009_Bahrain_Grand_Prix,,,,,,,,,,,7624,4,17,9,14,18,11,11,11,0.0,57,+1:07.641,5575823,50,8,1:35.165,204.730,1,17,webber,,WEB,Mark,Webber,1976-08-27,Australian,http://en.wikipedia.org/wiki/Mark_Webber_(racing_driver)
